Trait	Population	Spearman correlation (R) to residualized trait	Number of individuals	P-value	Variance explained relative to White British	geno	covar	geno_covar
Glucose	s_asian	0.227	337	2.66e-05	1.1228	0.0172179151991428	0.0405876636721717	0.0559932587424636
HbA1c	s_asian	0.268	6895	9.05e-114	0.5104	0.0480356114098933	0.0858384813354588	0.127430335493522
HDL cholesterol	s_asian	0.39	6689	2.05e-242	0.7945	0.13933843421081	0.169290664922982	0.303750704850505
IGF-1	s_asian	0.313	7283	7.04e-165	0.7179	0.0851613262963278	0.116318629688479	0.202123468435616
LDL cholesterol	s_asian	0.289	7319	2.77e-141	0.4216	0.0853236896187445	0.0307996292863593	0.112171891203159
Lipoprotein A	s_asian	0.375	6453	2.37e-214	0.2934	0.157054823553799	0.0130003509542768	0.166677984149077
Microalbumin in urine	s_asian	0.053	2560	0.00773	6.357	0.00319780619233899	0.0253754118027429	0.0267704721595136
Non-albumin protein	s_asian	0.292	6687	2.25e-131	0.8784	0.0856304018377401	0.0727453172606799	0.151578412277871
Phosphate	s_asian	0.226	6685	6.32e-78	0.7805	0.0499090566364935	0.163852476284825	0.209616016162619
Potassium in urine	s_asian	0.027	6998	0.0246	0.414	0.000812456149093567	0.0605063515614512	0.0603480999918175
SHBG	s_asian	0.326	6638	7.63e-164	0.6178	0.0981565396556217	0.185550516469171	0.280787527179497
Sodium in urine	s_asian	0.059	6993	9.19e-07	0.4225	0.00453757336143036	0.063971328453343	0.0660499790636193
Testosterone	s_asian	0.149	6680	2.5e-34	0.7185	0.00137448049753599	0.897750257788781	0.899833775500649
Total bilirubin	s_asian	0.548	7313	0	1.0567	0.286590008205869	0.153025862589383	0.436933192277893
Total protein	s_asian	0.258	6687	1.64e-102	0.8308	0.0672888262629979	0.0414661453313444	0.105224124304981
Triglycerides	s_asian	0.317	7330	2.33e-170	0.8071	0.105040573575375	0.0578810460213046	0.161872417464934
Urate	s_asian	0.308	7328	1.12e-160	0.6643	0.0764866162312258	0.251429790235945	0.324675262438759
Urea	s_asian	0.174	7336	6.62e-51	0.6077	0.025354286452856	0.130235807873693	0.155558895079137
Vitamin D	s_asian	0.08	6425	1.6e-10	0.1243	0.00409249884297745	0.0732997761110979	0.0769509883030694
Alanine aminotransferase	white_british	0.244	63766	0	1	0.0516502105155209	0.139689141099334	0.191649807231942
Albumin	white_british	0.262	58196	0	1	0.0669740408677116	0.0635487842352007	0.13054355148524
Alkaline phosphatase	white_british	0.47	63795	0	1	0.199459780091661	0.0742897391482028	0.272964836778155
Apolipoprotein A	white_british	0.398	57932	0	1	0.136574459618753	0.169047446239965	0.305086596852221
Apolipoprotein B	white_british	0.483	63491	0	1	0.233777036850335	0.0677354293580116	0.301820386673173
Aspartate aminotransferase	white_british	0.285	63562	0	1	0.0617371154740763	0.0871694668258066	0.149295520178849
AST to ALT ratio	white_british	0.272	63545	0	1	0.069930505579152	0.0974873730226562	0.16732502129406
